Product Link,Product Name,Price
https://www.flipkart.com/samsung-galaxy-s23-fe-mint-256-gb/p/itmdb72279972171?pid=MOBGVTA2R8ZH4G3C&lid=LSTMOBGVTA2R8ZH4G3C8XDOZH&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2R8ZH4G3C.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹32,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-mint-128-gb/p/itmfde87b854d383?pid=MOBGVTA2GRVRXVFR&lid=LSTMOBGVTA2GRVRXVFRPT6FPX&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2GRVRXVFR.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Mint, 128 GB)","₹29,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-256-gb/p/itm3dd39c0d1ec9c?pid=MOBGVTA2GWPSR57X&lid=LSTMOBGVTA2GWPSR57XIIBGXC&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2GWPSR57X.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)","₹32,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-128-gb/p/itm1f3efe01d1c61?pid=MOBGNPGZVX4PCTTF&lid=LSTMOBGNPGZVX4PCTTFYWYWBL&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGNPGZVX4PCTTF.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹39,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-128-gb/p/itme751066521899?pid=MOBGVTA2836DQWTT&lid=LSTMOBGVTA2836DQWTTISGIME&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2836DQWTT.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹29,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-128-gb/p/itm03da6b42ff68e?pid=MOBGVTA24G7GHE6M&lid=LSTMOBGVTA24G7GHE6MN4I8LB&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA24G7GHE6M.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹29,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-cream-128-gb/p/itmc77ff94cdf044?pid=MOBGMFFX5XYE8MZN&lid=LSTMOBGMFFX5XYE8MZNRGKCA5&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGMFFX5XYE8MZN.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹39,999"
https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itm46fc37ddc7255?pid=MOBGX2F3GDX7QYFT&lid=LSTMOBGX2F3GDX7QYFTDDMJ7Z&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGX2F3GDX7QYFT.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹64,999"
https://www.flipkart.com/samsung-galaxy-s23-fe-purple-256-gb/p/itm8f6a49271bf21?pid=MOBGVTA2VGHCJFGG&lid=LSTMOBGVTA2VGHCJFGG1TC2LI&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGVTA2VGHCJFGG.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 FE (Purple, 256 GB)","₹32,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-green-128-gb/p/itm7cdd081996dc8?pid=MOBGNPGYWGZAUZGK&lid=LSTMOBGNPGYWGZAUZGKLQSOT0&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGNPGYWGZAUZGK.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Green, 128 GB)","₹39,999"
https://www.flipkart.com/samsung-galaxy-a15-5g-blue-128-gb/p/itm06604fe9b8276?pid=MOBGWD85AZCYWPYW&lid=LSTMOBGWD85AZCYWPYWLYXTDG&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGWD85AZCYWPYW.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A15 5G (Blue, 128 GB)","₹20,999"
https://www.flipkart.com/samsung-galaxy-s24-5g-onyx-black-256-gb/p/itm325da4a26d7bb?pid=MOBGX2F3HVJYNHUV&lid=LSTMOBGX2F3HVJYNHUVP4L3WU&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGX2F3HVJYNHUV.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)","₹64,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-cream-256-gb/p/itm745d4b532623e?pid=MOBGMFFXURCVYANE&lid=LSTMOBGMFFXURCVYANE4SRNTK&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGMFFXURCVYANE.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Cream, 256 GB)","₹44,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-phantom-black-256-gb/p/itm347e695feffe7?pid=MOBGMFFXPNSHBGRC&lid=LSTMOBGMFFXPNSHBGRCPG5BZP&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGMFFXPNSHBGRC.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)","₹44,999"
https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-128-gb/p/itm9684d2fe9201e?pid=MOBGYT2HEYWFCG8Q&lid=LSTMOBGYT2HEYWFCG8QQFMMS9&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGYT2HEYWFCG8Q.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹25,999"
https://www.flipkart.com/samsung-galaxy-m35-5g-thunder-grey-256-gb/p/itm94360d23ec184?pid=MOBH2ZAYYUN63FV7&lid=LSTMOBH2ZAYYUN63FV7GHQGAG&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBH2ZAYYUN63FV7.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy M35 5G (Thunder Grey, 256 GB)","₹20,695"
https://www.flipkart.com/samsung-galaxy-a55-5g-awesome-iceblue-256-gb/p/itmf96a733c20399?pid=MOBGYT2HGMHT5GFZ&lid=LSTMOBGYT2HGMHT5GFZEEDUVP&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGYT2HGMHT5GFZ.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹36,999"
https://www.flipkart.com/samsung-galaxy-m35-5g-moonlight-blue-256-gb/p/itm94360d23ec184?pid=MOBH2Z9TF9G5D5AV&lid=LSTMOBH2Z9TF9G5D5AVVCAGWS&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBH2Z9TF9G5D5AV.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy M35 5G (Moonlight Blue, 256 GB)","₹24,990"
https://www.flipkart.com/samsung-galaxy-m35-5g-daybreak-blue-128-gb/p/itm94360d23ec184?pid=MOBH2Z9MJ2WWJZYH&lid=LSTMOBH2Z9MJ2WWJZYHSMVBOW&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBH2Z9MJ2WWJZYH.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)","₹21,508"
https://www.flipkart.com/samsung-galaxy-m35-5g-daybreak-blue-256-gb/p/itm94360d23ec184?pid=MOBH2Z9ZNJKYDE4D&lid=LSTMOBH2Z9ZNJKYDE4DD0FLXP&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBH2Z9ZNJKYDE4D.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy M35 5G (DayBreak Blue, 256 GB)","₹21,990"
https://www.flipkart.com/samsung-galaxy-a23-5g-silver-128-gb/p/itm3b8c53b36c275?pid=MOBGHT8UK9TYN6SG&lid=LSTMOBGHT8UK9TYN6SG0W9JC0&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGHT8UK9TYN6SG.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A23 5G (Silver, 128 GB)","₹21,999"
https://www.flipkart.com/samsung-galaxy-s23-5g-green-256-gb/p/itm6840743bfd1ef?pid=MOBGMFFXB7RGPNET&lid=LSTMOBGMFFXB7RGPNETJZGNDL&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGMFFXB7RGPNET.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy S23 5G (Green, 256 GB)","₹44,999"
https://www.flipkart.com/samsung-galaxy-a23-5g-silver-128-gb/p/itm929372c9db763?pid=MOBGHT8U5HGTWKTZ&lid=LSTMOBGHT8U5HGTWKTZ8ZTELX&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGHT8U5HGTWKTZ.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A23 5G (Silver, 128 GB)","₹23,999"
https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-navy-128-gb/p/itm12fccc5bfbaac?pid=MOBGYT2HGFKNMSZQ&lid=LSTMOBGYT2HGFKNMSZQEXUL64&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=70507cb2-8e5d-4438-ae19-7af75d8c4982.MOBGYT2HGFKNMSZQ.SEARCH&ppt=sp&ppn=sp&ssid=ya1c6vh0jk0000001730653595163&qH=f696c2fbb0b173a0,"SAMSUNG Galaxy A35 5G (Awesome Navy, 128 GB)","₹25,999"
https://www.flipkart.com/google-pixel-7a-snow-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMZXYXCZCH&lid=LSTMOBGZCQMZXYXCZCHTTFGG3&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGZCQMZXYXCZCH.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 7a (Snow, 128 GB)","₹29,999"
https://www.flipkart.com/google-pixel-8-hazel-256-gb/p/itm67e2a2531aaac?pid=MOBGT5F2R7MCUSWG&lid=LSTMOBGT5F2R7MCUSWGNYZQSJ&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGT5F2R7MCUSWG.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 8 (Hazel, 256 GB)","₹42,999"
https://www.flipkart.com/google-pixel-8-hazel-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2WD8HPTPZ&lid=LSTMOBGT5F2WD8HPTPZ4A9QHI&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGT5F2WD8HPTPZ.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 8 (Hazel, 128 GB)","₹39,999"
https://www.flipkart.com/google-pixel-8-mint-128-gb/p/itm67e2a2531aaac?pid=MOBGW6NGMC7FNGMC&lid=LSTMOBGW6NGMC7FNGMCZEJQWC&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGW6NGMC7FNGMC.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 8 (Mint, 128 GB)","₹39,999"
https://www.flipkart.com/google-pixel-8-obsidian-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2KGVNAPYY&lid=LSTMOBGT5F2KGVNAPYYWJKL43&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGT5F2KGVNAPYY.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 8 (Obsidian, 128 GB)","₹39,999"
https://www.flipkart.com/google-pixel-9-obsidian-256-gb/p/itm330ed8ebeefe1?pid=MOBH2HJGP3FGTECW&lid=LSTMOBH2HJGP3FGTECWIRLKP1&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGP3FGTECW.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 (Obsidian, 256 GB)","₹79,999"
https://www.flipkart.com/google-pixel-8-rose-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F22JFCABET&lid=LSTMOBGT5F22JFCABETVKHMHM&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGT5F22JFCABET.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 8 (Rose, 128 GB)","₹39,999"
https://www.flipkart.com/google-pixel-7a-charcoal-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMHGWDYZQ7&lid=LSTMOBGZCQMHGWDYZQ7XLJASQ&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGZCQMHGWDYZQ7.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 7a (Charcoal, 128 GB)","₹29,999"
https://www.flipkart.com/google-pixel-9-porcelain-256-gb/p/itm5364256d5efe2?pid=MOBH2HJG3HNTSRYT&lid=LSTMOBH2HJG3HNTSRYTUHOV85&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJG3HNTSRYT.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 (Porcelain, 256 GB)","₹79,999"
https://www.flipkart.com/google-pixel-9-pro-porcelain-256-gb/p/itm9a1354100232c?pid=MOBH2HJGMACVFGRH&lid=LSTMOBH2HJGMACVFGRH538IOO&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGMACVFGRH.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro (Porcelain, 256 GB)","₹1,09,999"
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGT5F26QJYZUZS.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 7a (Coral, 128 GB)","₹29,999"
https://www.flipkart.com/google-pixel-9-pro-xl-porcelain-256-gb/p/itm23d7e159c924d?pid=MOBH2HJGE33F8KHN&lid=LSTMOBH2HJGE33F8KHNQBQOW2&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGE33F8KHN.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro XL (Porcelain, 256 GB)","₹1,24,999"
https://www.flipkart.com/google-pixel-9-peony-256-gb/p/itmdfee129571238?pid=MOBH2HJGNG6PVUYH&lid=LSTMOBH2HJGNG6PVUYHXGA7EB&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGNG6PVUYH.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 (Peony, 256 GB)","₹79,999"
https://www.flipkart.com/google-pixel-9-pro-rose-quartz-256-gb/p/itme7353de08a821?pid=MOBH2HJGZKZE8JVW&lid=LSTMOBH2HJGZKZE8JVWWR4LJW&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGZKZE8JVW.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro (Rose Quartz, 256 GB)","₹1,09,999"
https://www.flipkart.com/google-pixel-9-wintergreen-256-gb/p/itmcead5185c21a8?pid=MOBH2HJG6KBBMPRF&lid=LSTMOBH2HJG6KBBMPRFC8AYRM&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJG6KBBMPRF.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 (Wintergreen, 256 GB)","₹79,999"
https://www.flipkart.com/google-pixel-9-pro-hazel-256-gb/p/itm794fb1e1c325c?pid=MOBH2HJGYPMF9EH3&lid=LSTMOBH2HJGYPMF9EH3SIVNWD&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGYPMF9EH3.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro (Hazel, 256 GB)","₹1,09,999"
